Persona6, 22:22:16.915331, , Informatica, 22:22:16.915352, DEFIDER, 22:22:45.217768
Persona17, 22:22:16.921524, , Quimica, 22:22:16.921544, DEFIDER, 22:22:45.216546
Persona30, 22:22:16.927778, , Matematicas, 22:22:16.927800, DEFIDER, 22:22:45.219083
Persona15, 22:22:16.920536, , Matematicas, 22:22:16.920557, DEFIDER, 22:22:45.218348
Persona79, 22:22:16.947348, , Minas, 22:22:21.927419, DEFIDER, 22:22:47.240024
Persona75, 22:22:16.946053, , Minas, 22:22:16.946074, DEFIDER, 22:22:47.235424
Persona100, 22:22:16.952828, , Quimica, 22:22:16.952849, DEFIDER, 22:22:47.238835
Persona73, 22:22:16.944950, , Mecanica, 22:22:16.944975, DEFIDER, 22:22:47.237217
Persona66, 22:22:16.942304, , Informatica, 22:22:16.942326, DEFIDER, 22:22:47.241141
Persona149, 22:22:16.965597, , Fisica, 22:22:16.966125, DEFIDER, 22:22:49.251650
Persona82, 22:22:16.948029, , Informatica, 22:22:26.949702, DEFIDER, 22:22:49.253486
Persona84, 22:22:16.948481, , Informatica, 22:22:26.954684, DEFIDER, 22:22:49.254302
Persona146, 22:22:16.964662, , Fisica, 22:22:16.964681, DEFIDER, 22:22:49.252824
Persona126, 22:22:16.959076, , Matematicas, 22:22:16.959096, DEFIDER, 22:22:49.254940
Persona158, 22:22:16.967477, , Matematicas, 22:22:34.971677, DEFIDER, 22:23:02.008164
Persona202, 22:22:16.975922, , Quimica, 22:22:49.028054, DEFIDER, 22:23:01.040377
Persona257, 22:22:16.986852, , Matematicas, 22:22:34.991940, DEFIDER, 22:23:02.006164
Persona232, 22:22:16.981822, , Fisica, 22:22:45.030493, DEFIDER, 22:23:06.080170
Persona241, 22:22:16.983636, , Fisica, 22:22:45.032040, DEFIDER, 22:23:06.082175
Persona204, 22:22:16.976286, , Quimica, 22:22:57.037384, DEFIDER, 22:23:09.056065
Persona139, 22:22:16.962998, , Informatica, 22:22:57.012726, DEFIDER, 22:23:12.041608
Persona258, 22:22:16.987069, , Fisica, 22:22:59.074848, DEFIDER, 22:23:20.166139
Persona266, 22:22:16.988706, , Matematicas, 22:22:53.003019, DEFIDER, 22:23:20.057384
Persona294, 22:22:16.994537, , Matematicas, 22:22:53.009509, DEFIDER, 22:23:20.060514
Persona281, 22:22:16.991743, , Fisica, 22:22:59.100468, DEFIDER, 22:23:20.164919
Persona251, 22:22:16.985613, , Fisica, 22:22:59.060854, DEFIDER, 22:23:20.163083
Persona136, 22:22:16.962410, , Minas, 22:23:07.024588, DEFIDER, 22:23:22.154875
